# time identity distance inter intra
4114 1 185.670325 44.486508 25.035737
4115 1 191.430759 44.889087 22.613725
4116 1 194.467106 34.153620 15.315820
4117 1 189.123360 41.990932 17.243304
4118 1 182.063176 66.556148 20.002016
4119 1 181.279375 58.967856 17.783580
4120 1 192.301764 40.933963 23.392799
4121 0 207.310784 33.884382 24.249135
4122 0 215.628919 31.809633 20.083084
4123 0 216.108621 24.304374 28.875033
4124 0 227.271226 13.498375 31.805784
4125 0 219.374096 17.787413 40.149636
4126 0 212.890311 24.737807 31.946742
4127 0 202.157771 24.825708 32.379198
4128 1 187.152831 26.487753 22.190603
4129 1 183.423051 35.894751 16.233437
4130 1 174.169007 49.009155 28.983656
4131 1 177.538593 46.784906 27.228188
4132 1 186.613393 31.483010 19.349047
4133 1 185.472744 23.119979 18.262412
4134 1 199.977672 19.608204 20.853193
4135 0 204.653951 15.925954 14.339689
4136 0 208.207983 18.253544 16.670124
4137 0 210.479725 9.554335 24.367085
4138 1 198.590797 15.882305 16.615861
4139 0 202.191662 20.183531 15.341307
4140 0 207.269155 24.274861 17.693961
4141 0 209.467163 20.723890 18.671319
4142 0 213.902930 8.478196 19.336242
4143 0 200.862836 12.718224 13.862500
4144 0 209.330620 5.403876 14.932861
4145 0 216.307632 3.040761 22.344162
4146 0 219.219632 0.248206 20.858228
4147 0 215.412654 1.392132 31.697451
4148 0 220.187877 0.760417 33.715245
4149 0 228.845208 0.473083 29.028315
4150 0 228.678181 1.018022 16.994665
4151 0 228.751089 3.224098 30.159573
4152 0 222.986094 4.793307 28.123544
4153 0 224.812095 6.445637 23.134452
4154 0 215.418872 9.235546 21.565110
4155 0 212.919500 8.766553 20.088966
4156 0 206.483399 7.717120 13.936201
4157 0 202.925715 13.571833 21.637541
4158 0 200.647957 16.111316 19.856010
4159 0 204.132118 19.324870 22.486585
4160 0 204.528137 23.647419 21.150143
4161 1 198.579307 24.933244 10.415799
4162 1 198.596638 33.584588 13.541699
4163 0 211.423329 19.394485 19.704821
4164 0 207.575367 18.798856 14.801153
4165 0 213.967240 18.764238 14.439161
4166 0 221.434392 8.316524 17.354685
4167 0 213.228227 8.282129 12.442029
4168 0 214.669654 8.880114 22.349407
4169 0 209.828638 7.265127 25.639016
4170 1 196.896410 14.225073 16.072604
4171 1 193.037306 17.569903 17.501495
4172 0 201.396747 16.535203 14.515801
4173 0 205.059054 8.323254 17.229034
